one	bir
method	metot
then	sonra
good	guzel
ground	zemin
supply	malzeme
stood	ayakta durmus
next	sonraki
arms kollar
be	olmak
army	ordu
matter	madde
soft	yumusak
except	haric
spring	ilkbahar
main	ana
down	asagi
form	yapi
edge	kenar
oxygen	oksijen
car	araba
difficult	zor
rain	yagmur
necessary	gerekli
field	alan
body	vucut
capital	basken
factors	faktorler
direction	yon
men	erkekler
ear	kulak
and	ve
first	birinci
several	birkac
let's	haydi
join	katilmak
doctor	doktor
across	karsisinda
round	yuvarlak
location	lokasyon
Africa	Afrika
statement	ifade
saw	testere
into	icine
million	milyon
those	onlar
children	cocuklar
certain	kesin
teacher	ogretmen
poem	siir
head	bas
dollar	dolar
speak	konusmak
hair	sac
dry	kuru
open	acik
son	erkek cocuk
draw	cizmek
soon	yakinda
letter	mektup
watch	izlemek
especially	ozellikle
took	almak (gecmis zaman)
per	basina
oh	oh
had	sahip olmak (gecmis)
circle	cember
believe	inanmak
direct	direkt
in	iceri
lead	kursun
I	ben
quite	oldukca
his	onun (erkek)
that	o (esya)
stick	yapismak
train	egitmek
numeral	sayisal
worker isci
bright	parlak
think	dusunmek
mark	isaret

square	kare
sugar	seker
fire	ates
each	her biri
type	yazmak
skin	deri
suppose	tahmin yurutmek
copy	kopyalamak
march	mart
she	O (kadin)
how	nasil
way	yol
against	karsisinda
since	-den beri
sing	sarki soylemek
thing	sey
give	vermek
lift	kaldirmak
although	ragmen
consonant	unsuz harf
burn	yanmak
space	uzay, bosluk
sharp	keskin
loud	gurultulu
some	bazi
compare	karsilastirmak
safe	guvenli
feet	ayaklar
only	sadece
led	onderlik etmek (gecmis)
both	ikisi de
child	cocuk
silent	sessiz
put	koymak
state	durum
people	insanlar
green	yesil
won't olmamak (gelecek)
middle	orta
seven	yedi
push	itmek
compound	madde
than	-den
feeling	his
ago	once
choose	secmek
nor	veya (olumsuz)
to	ona
well	iyi
cold	soguk
hole	delik
team	takim
heat	isi
angle	aci
alone	yalniz
break	kirmak
may	belki
other	diger
you sen
much	fazla
yes evet
remain	kalan
either	ikisi de
side	yan
follow	takip etmek
yellow sari
building	bina
value	deger
baby	bebek
fall	dusmek
company	sirket
set	ayarlamak
grew	buyumus
were	olmak (cogul, gecmis)
actually	aslinda
plants	bitkiler
determine	belirlemek
say	soylemek
fraction	parca
can	yapabilmek
trip	yolculuk
tall	uzun
question	soru
such	ornegin
problem	sorun
inside	icinde
year yil
inches	inc (uzunluk birimi)
art	sanat
plane	ucak
member	uye
make	yapmak
again	yeniden, yine
air	hava
mountain	dag
score	skor
room	oda
fig	incir
plural	cogul
this	o
visit	ziyaret
plan	plan
word kelime
read	okumak
third	ucuncu
grass	cimen
light	isik
cow	inek

stream	akinti
sister	kiz kardes
drawing	cizim
shoulder	omuz
energy	enerji
cloth	elbise
it's	olmak (hayvan veya cansiz)
object	obje
like	begenmek
something	bir sey
allow	izin vermek
Indian	Hindistanli
many	cok
hold	tutmak
glass	cam
or	veya
flow	akmak
uncle	amca
sell	satmak
desert	col
printed	yazilmis
wonder	merak etmek
hour	saat
smell	koklamak
all	hepsi
evening	aksam
match	mac
learn	ogrenmek
solution	cozum
section	bolum
particular	belli
play	oynamak
least	en azi
could	yapabilmek (gecmis zaman)
early	erken

best	en iyi
cool	soguk
repeat	tekrar etmek
wrote yazmak (gecmis)
wish	dilemek
toward	-e dogru
rope	halat
large	genis
filled	doldurulmus
got	sahip olmak
held	tutmak (gecmis)
built	bina edilmis
details	ayrintilar
include	icermek
use	kullanmak
bad	kotu
simple	basit
class	sinif
within	icinde
underline	alt cizgi vurgulama
cost	masraf
shall	olsun
win	kazanmak
stretch	genisletmek
street	sokak
arrived	varmak (gecmis zaman)
sea	deniz
system	sistem
walk	yurumek
born	dogmus
with	birlikte

are	olmak fiili
away	uzak
hill	tepe
even	esit
sound	ses
end	son
vowel	sesli harf
over	uzerinde
fine	iyi
your senin
five	bes
ever	hep
dog	kopek
if	eger
money	para
its	onun
bit	kucuk parca
resent	gucenmek
possible	mumkun
can't	yapamamak
will	istek
once	bir kere
river	nehir
weight	kilo
return	donmek
take	almak
molecules	molekul
great	muthis
wide	genis
left	sol
column	kolon
pole	kutup
change	degismek
electric	elektrik
mouth	agiz
pick	secmek
sign	isaret
nothing	hicbir sey
deal	anlasma
father	baba
lady	kadin
north	kuzey
south	guney
west	bati
western	batili
about  	hakkinda
yard bahce
cat	kedi
produce	uretmek
young genc
passed	gecmis
pattern	patern
rolled	yuvarlanmis
surface	yuzey
already	zaten
interest	ilgi
winter	kis
today	bugun
close	kapatmak
suddenly	aniden
fingers	parmaklar
farmer	ciftci
wind	ruzgar
six	alti
women	kadinlar
my	benim
reach	ulasmak
town	yerleske
afraid	korkmus
wire	kablo
scientist	bilim adami
four	dort


valley	vadi
spot	nokta
pull	cekmek
moon	ay
group	grup
easy	kolay
week	hafta
whose	kimin?
syllables	ders programi
decimal	ondalik
them	onlar
probably	belki
build	bina etmek
cross	capraz
upon	ustune
because	cunku
movement	hareket
clear	temizlemek
has	sahip olmak
Washington	Washington
while	suresince
wall	duvar
came	geldi
new	yeni
home	ev
oil	petrol, yag
process	islem
wife	es (kadin)
stone	tas
paint	boyamak
is	olmak
provide	saglamak
wouldn't istememek
never	asla
let	izin vermek
God	tanri
just	sadece
mind	akil
after	sonra

white	beyaz
cook	pisirmek
they	onlar (insan)
meat	et
made	yapilmis
fight	kavga
corner	kose
grow	buyumek
sentence	cumle
sum	ozet
less	az
plant	bitki
dance	dans etmek
cannot	yapamamak
their	onlarin
write yazmak

hand	el
below	altinda
prepare	hazirlanmak
condition	durum

for	icin
divided	bolunmus
hat	sapka
product	urun
stay	kalmak
park	park
no	hayir
triangle	ucgen
right	sag
place	yer
Greek	Yunan
instruments	enstruman
family	aile
