one	bir
method	metot
then	sonra
good	güzel
ground	zemin
supply	malzeme
stood	ayakta durmuş
next	sonraki
arms kollar
be	olmak
army	ordu
matter	madde
soft	yumuşak
except	hariç
spring	ilkbahar
main	ana
down	aşağı
form	yapı
edge	kenar
oxygen	oksijen
car	araba
difficult	zor
rain	yağmur
necessary	gerekli
field	alan
body	vücut
capital	başken
factors	faktörler
direction	yön
men	erkekler
ear	kulak
and	ve
first	birinci
several	birkaç
let's	haydi
join	katılmak
doctor	doktor
across	karşısında
round	yuvarlak
location	lokasyon
Africa	Afrika
statement	ifade
saw	testere
into	içine
million	milyon
those	onlar
children	çocuklar
certain	kesin
teacher	öğretmen
poem	şiir
head	baş
dollar	dolar
speak	konuşmak
hair	saç
dry	kuru
open	açık
son	erkek çocuk
draw	çizmek
soon	yakında
letter	mektup
watch	izlemek
especially	özellikle
took	almak (geçmiş zaman)
per	başına
oh	oh
had	sahip olmak (geçmiş)
circle	çember
believe	inanmak
direct	direkt
in	içeri
lead	kurşun
I	ben
quite	oldukça
his	onun (erkek)
that	o (eşya)
stick	yapışmak
train	eğitmek
numeral	sayısal
worker işçi, emekçi 
bright	parlak
think	düşünmek
mark	işaret
worker amele
square	kare
sugar	şeker
fire	ateş
each	her biri
type	yazmak
skin	deri
suppose	tahmin yürütmek
copy	kopyalamak
march	mart
she	O (kadın)
how	nasıl
way	yol
against	karşısında
since	-den beri
sing	şarkı söylemek
thing	şey
give	vermek
lift	kaldırmak
although	rağmen
consonant	ünsüz harf
burn	yanmak
space	uzay, boşluk
sharp	keskin
loud	gürültülü
some	bazı
compare	karşılaştırmak
safe	güvenli
feet	ayaklar
only	sadece
led	önderlik etmek (geçmiş)
both	ikisi de
child	çocuk
silent	sessiz
put	koymak
state	durum
people	insanlar
green	yeşil
won't olmamak (gelecek)
middle	orta
seven	yedi
push	itmek
compound	madde
than	-den
feeling	his
ago	önce
choose	seçmek
nor	veya (olumsuz)
to	ona
well	iyi
cold	soğuk
hole	delik
team	takım
heat	ısı
angle	açı
alone	yalnız
break	kırmak
may	belki
other	diğer
you sen
much	fazla
yes evet
remain	kalan
either	ikisi de
side	yan
follow	takip etmek
yellow sarı
building	bina
value	değer
baby	bebek
fall	düşmek
company	şirket
set	ayarlamak
grew	büyümüş
were	olmak (çoğul, geçmiş)
actually	aslında
plants	bitkiler
determine	belirlemek
say	söylemek
fraction	parça
can	yapabilmek
trip	yolculuk
tall	uzun
question	soru
such	örneğin
problem	sorun
inside	içinde
year yıl
inches	inç (uzunluk birimi)
art	sanat
plane	uçak
member	üye
make	yapmak
again	yeniden, yine
air	hava
mountain	dağ
score	skor
room	oda
fig	incir
plural	çoğul
this	o
visit	ziyaret
plan	plan
word kelime
read	okumak
third	üçüncü
grass	çimen
light	ışık
cow	inek

stream	akıntı
sister	kız kardeş
drawing	çizim
shoulder	omuz
energy	enerji
cloth	elbise
it's	olmak (hayvan veya cansız)
object	obje
like	beğenmek
something	bir şey
allow	izin vermek
Indian	Hindistanlı
many	çok
hold	tutmak
glass	cam
or	veya
flow	akmak
uncle	amca
sell	satmak
desert	çöl
printed	yazılmış
wonder	merak etmek
hour	saat
smell	koklamak
all	hepsi
evening	akşam
match	maç
learn	öğrenmek
solution	çözüm
section	bölüm
particular	belli
play	oynamak
least	en azı
could	yapabilmek (geçmiş zaman)
early	erken

best	en iyi
cool	soğuk
repeat	tekrar etmek
wrote yazmak (geçmiş)
wish	dilemek
toward	-e doğru
rope	halat
large	geniş
filled	doldurulmuş
got	sahip olmak
held	tutmak (geçmiş)
built	bina edilmiş
details	ayrıntılar
include	içermek
use	kullanmak
bad	kötü
simple	basit
class	sınıf
within	içinde
underline	alt çizgi vurgulama
cost	masraf
shall	olsun
win	kazanmak
stretch	genişletmek
street	sokak
arrived	varmak (geçmiş zaman)
sea	deniz
system	sistem
walk	yürümek
born	doğmuş
with	birlikte

are	olmak fiili
away	uzak
hill	tepe
even	eşit
sound	ses
end	son
vowel	sesli harf
over	üzerinde
fine	iyi
your senin
five	beş
ever	hep
dog	köpek
if	eğer
money	para
its	onun
bit	küçük parça
resent	gücenmek
possible	mümkün
can't	yapamamak
will	istek
once	bir kere
river	nehir
weight	kilo
return	dönmek
take	almak
molecules	molekül
great	müthiş
wide	geniş
left	sol
column	kolon
pole	kutup
change	değişmek
electric	elektrik
mouth	ağız
pick	seçmek
sign	işaret
nothing	hiçbir şey
deal	anlaşma
father	baba
lady	kadın
north	kuzey
south	güney
west	batı
western	batılı
about  	hakkında
yard bahçe
cat	kedi
produce	üretmek
young genç
passed	geçmiş
pattern	patern
rolled	yuvarlanmış
surface	yüzey
already	zaten
interest	ilgi
winter	kış
today	bugün
close	kapatmak
suddenly	aniden
fingers	parmaklar
farmer	çiftçi
wind	rüzgar
six	altı
women	kadınlar
my	benim
reach	ulaşmak
town	yerleşke
afraid	korkmuş
wire	kablo
scientist	bilim adamı
four	dört


valley	vadi
spot	nokta
pull	çekmek
moon	ay
group	grup
easy	kolay
week	hafta
whose	kimin?
syllables	ders programı
decimal	ondalık
them	onlar
probably	belki
build	bina etmek
cross	çapraz
upon	üstüne
because	çünkü
movement	hareket
clear	temizlemek
has	sahip olmak
Washington	Washington
while	süresince
wall	duvar
came	geldi
new	yeni
home	ev
oil	petrol, yağ
process	işlem
wife	eş (kadın)
stone	taş
paint	boyamak
is	olmak
provide	sağlamak
wouldn't istememek
never	asla
let	izin vermek
God	tanrı
just	sadece
mind	akıl
after	sonra

white	beyaz
cook	pişirmek
they	onlar (insan)
meat	et
made	yapılmış
fight	kavga
corner	köşe
grow	büyümek
sentence	cümle
sum	özet
less	az
plant	bitki
dance	dans etmek
cannot	yapamamak
their	onların
write yazmak

hand	el
below	altında
prepare	hazırlanmak
condition	durum

for	için
